percentage_perturbation,Train_accuracy,Test_accuracy,Accuracy_of_target_class,Accuracy_on_data_without_target_class
0.1,0.9654112458229065,0.965132474899292,0.9751203656196594,0.9618340730667114
0.2,0.9754889607429504,0.9758915901184082,0.9819079041481018,0.9739679098129272
0.3,0.9771970510482788,0.9768878221511841,0.9605262875556946,0.9821193814277649
0.4,0.9628490805625916,0.9675233960151672,0.9582992792129517,0.9704952836036682
